PlayerID,PlayerName,AverageRebounds,AverageAssists,AverageSteals,AveragePoints,AveragePlusMinus
585,Diana Taurasi,5.26,4.68,0.84,20.65,-1.53
869,DeWanna Bonner,7.52,2.49,1.46,18.83,6.23
887,Sami Whitcomb,4.84,4.19,1.96,13.09,5.84
918,Tina Charles,12.9,3.07,1.24,20.03,-1.5
924,Alysha Clark,5.96,2.88,1.36,9.87,7.04
981,Courtney Vandersloot,4.65,8.68,1.48,11.4,8.4
1004,Sydney Colson,2.27,4.86,2.43,12.31,8.56
1054,Tiffany Hayes,5.16,3.87,1.4,17.56,7.63
1068,Nneka Ogwumike,9.43,2.93,2.3,21.08,6.96
2284331,Emma Cannon,8,4,0,16,21.66
2490553,Brittney Griner,9.17,3.21,0.75,24.87,-0.41
2490794,Layshia Clarendon,4.55,6.47,1.8,10.9,-7.53
2491205,Skylar Diggins-Smith,3.31,8.11,2.15,19.1,7.01
2491214,Erica Wheeler,3.88,5.05,1.24,10.38,-3.74
2529047,Odyssey Sims,2.91,7.24,1.6,17.21,-7.72
2529122,Chelsea Gray,4.5,7.52,1.94,13.28,7.97
2529130,Natasha Howard,8.81,3.78,1.65,22.95,-9.25
2529137,Natasha Cloud,4.85,8.28,1.7,13.78,-7.22
2529140,Alyssa Thomas,10.41,9.79,1.92,13.07,5.32
2529183,Stefanie Dolson,7.63,4.03,0.83,14.66,-3.25
2529205,Kayla McBride,3.19,4.06,1.53,18.78,10.16
2529458,Cheyenne Parker-Tyus,9.82,3,1.7,18.74,-9.03
2529622,Kayla Thornton,5.07,1.39,1.39,11.37,3.87
2566081,Elizabeth Williams,10.04,2.23,2.39,14.34,1.93
2566106,Dearica Hamby,10.95,4.14,2.04,20.44,-11.54
2566110,Julie Vanloo,2.8,7.46,0.82,12.67,-3.58
2566186,Rachel Banham,3.61,2.72,0.95,14.29,-4.98
2566453,Isabelle Harrison,9.61,1.84,1.36,15.95,-14.25
2569044,Temi Fagbenle,10.02,1.93,1.06,13.49,-0.19
2590093,Kiah Stokes,10.24,1.56,1.17,3.06,2.62
2593770,Betnijah Laney-Hamilton,5.48,4.48,1.45,15.49,12.48
2955898,Damiris Dantas,8.19,2.29,0.95,16.95,0
2984741,Tiffany Mitchell,3.76,1.93,1.12,11.98,11.41
2987869,Jewell Loyd,5.33,4.33,1.67,23.4,6.07
2987891,Courtney Williams,6.96,8.39,1.43,16.7,9.27
2988756,Brittney Sykes,6.99,5.26,1.53,21.05,0.85
2998927,Moriah Jefferson,1.96,6.52,1.74,6.74,-11.07
2998928,Breanna Stewart,10.45,4.29,2,25.07,10.12
2998938,Kahleah Copper,5.6,2.8,0.97,26.07,-6.65
2999035,Aerial Powers,7.39,3.17,2.11,19.27,-8.43
2999101,Jonquel Jones,12.15,4.41,1.12,18.5,11.99
3054590,Nia Coffey,7.12,3.45,0.9,9.74,-10.83
3056672,Mercedes Russell,7.55,2.06,1.51,9.95,-3.03
